grp,pp,S,DID,peakVelL,peakVelR,MTL,MTR,accTimeL,accTimeR,decTimeL,decTimeR,accQL,accQR,IPerfL,IPerfR,IPerfEfL,IPerfEfR,HarmonicityL,HarmonicityR,fL,fR,vfTrajCircularityL,vfTrajCircularityR,vfCircularityL,vfCircularityR,q1L,q1R,q2L,q2R,q3L,q3R,q4L,q4R,maxangleL,maxangleR,MI,rho,flsPC,flsAmp,phDiffMean,phDiffStd,d4D,d3D,d2D,d1D,minPeakDelay,minPeakDelayNorm
1,3,3,1,0.86533,0.87026,1.3405,1.29,0.569,0.5665,0.7245,0.747,0.42093,0.42047,3.9722,4.1255,4.2141,1.2411,0.1129,0.072551,0.38365,0.38365,0.83291,0.83254,0.25514,0.23619,0.87089,0.88689,0.78005,0.75661,0.93604,0.92153,0.79034,0.78442,3.1416,2.9945,0.71477,1,0.99944,0.65309,0.05527,0.0051808,1.2933,0.19853,1.2516,0.03724,-0.0015,-0.002238
1,3,3,1,0.86947,0.8343,1.25,1.314,0.546,0.561,0.743,0.748,0.41912,0.41674,4.2575,4.0502,4.4941,1.0941,0.095981,0.083802,0.38365,0.38365,0.8403,0.82193,0.29418,0.27829,0.90869,0.87307,0.79187,0.78186,0.93888,0.90889,0.78125,0.76965,3.1416,2.8691,0.71387,1,0.99993,0.67255,0.034175,0.0038852,1.3028,0.21084,1.257,0.021941,-0.007,-0.0112
1,3,3,1,0.83754,0.90832,1.2945,1.278,0.513,0.5245,0.746,0.743,0.42685,0.40838,4.1125,4.1646,4.3721,1.1198,0.089435,0.08446,0.38726,0.38726,0.82518,0.85758,0.28362,0.28047,0.85233,0.91902,0.75036,0.81274,0.93231,0.90958,0.78769,0.78292,3.0835,2.4534,0.67992,1,0.99995,0.66994,-0.0056737,0.0043214,1.2818,0.19643,1.237,0.009703,-0.0095,-0.014677
1,3,3,2,0.83063,0.84934,1.1185,1.1145,0.4535,0.4695,0.63,0.629,0.4117,0.42286,4.7583,3.5891,4.9801,0.45985,0.079007,0.062046,0.45839,0.45839,0.80741,0.81993,0.24328,0.24337,0.84854,0.85344,0.7394,0.78917,0.88825,0.86458,0.79189,0.76919,1.9014,1.6699,0.72911,1,0.99951,0.77045,0.048556,0.0047057,1.2389,0.34759,1.1563,0.040058,-0.0085,-0.015199
1,3,3,2,0.82077,0.86178,1.3115,1.24,0.545,0.5245,0.754,0.7055,0.41858,0.41155,4.0579,3.2259,4.1399,0.64832,0.07732,0.071675,0.39378,0.39378,0.80488,0.82769,0.24651,0.29481,0.83643,0.88825,0.71655,0.78849,0.9326,0.89417,0.77596,0.76376,3.0055,1.8253,0.69191,1,0.99991,0.67703,0.051897,0.0071991,1.2666,0.2236,1.2171,0.035579,0.0295,0.044987
1,3,3,2,0.74197,0.8463,1.0655,1.081,0.443,0.466,0.6195,0.6275,0.42291,0.42566,4.9948,3.7003,5.0518,0.66802,0.072831,0.058954,0.48828,0.48828,0.75326,0.82699,0.28399,0.24823,0.794,0.87497,0.70808,0.79403,0.85323,0.8846,0.73072,0.76957,2.0637,2.029,0.73067,1,0.99983,0.78362,0.04625,0.003755,1.2462,0.26087,1.1993,0.030184,0.006,0.011262
1,3,3,3,0.86624,0.85608,1.007,1.0095,0.464,0.472,0.578,0.5575,0.43726,0.45748,5.2851,2.575,5.3394,-0.066972,0.10174,0.04867,0.49867,0.49867,0.83673,0.81958,0.24908,0.28414,0.84241,0.79086,0.77428,0.78444,0.92737,0.91889,0.81916,0.77599,3.1416,1.4578,0.80066,1,0.99348,0.85171,0.095673,0.0040803,1.2127,0.28831,1.1484,0.072612,0.0485,0.096326
1,3,3,3,0.8466,0.83755,1.0955,1.095,0.4915,0.479,0.62,0.604,0.43497,0.4465,4.858,2.374,5.2629,0.098452,0.10717,0.044805,0.4702,0.4702,0.83999,0.80096,0.24469,0.27574,0.85765,0.80179,0.77767,0.75649,0.91547,0.90857,0.80064,0.77395,2.9502,2.0302,0.74917,1,0.99081,0.835,0.060587,0.0028466,1.2235,0.30211,1.1537,0.045843,0.0045,0.0082154
1,3,3,3,0.82809,0.80852,1.1035,1.109,0.463,0.4975,0.624,0.599,0.42867,0.45246,4.8228,2.344,5.0783,0.22257,0.10525,0.045836,0.45211,0.45211,0.81815,0.78947,0.26397,0.23029,0.85164,0.83148,0.76855,0.73842,0.89988,0.83021,0.76574,0.75178,2.077,1.4768,0.78816,1,0.99998,0.75314,0.068896,0.0028827,1.2378,0.227,1.1984,0.051628,0.0495,0.089715
1,6,1,1,0.68675,0.66078,2.6945,2.6795,1.0475,0.968,1.579,1.743,0.39212,0.36792,1.9752,1.9862,2.1459,0.49487,0.26933,0.22789,0.17504,0.17504,0.7161,0.74226,0.39289,0.38831,0.74658,0.78619,0.64887,0.60671,0.77551,0.82988,0.6929,0.7083,3.1416,3.1416,0.73921,1,0.99963,0.34733,-0.043122,0.0042018,1.2361,0.35601,1.1351,-0.025737,-0.0215,-0.015958
