grp,pp,S,ID,peakVel,MT,accTime,decTime,accQ,IPerf,IPerfEf,Harmonicity,f,vfTrajCircularity,vfCircularity,q1,q2,q3,q4,maxangle
1,6,1,3,0.71368,2.0625,0.625,1.4165,0.31449,2.5815,2.7307,0.1451,0.19531,0.71625,0.42276,0.87168,0.64421,0.78873,0.60048,1.8909
1,6,1,3,0.79401,1.389,0.507,0.889,0.34895,3.8315,3.8436,0.080295,0.33675,0.80138,0.27259,0.8664,0.74265,0.90084,0.74231,2.5895
1,6,2,1,0.90503,0.597,0.28,0.319,0.46656,4.3542,5.7495,1,0.83705,0.86729,0.14567,0.87096,0.84344,0.90374,0.85938,1.352
1,6,2,1,0.90944,0.5745,0.2945,0.2805,0.50044,4.5247,6.989,1,0.86806,0.87406,0.17214,0.8382,0.88286,0.87916,0.86122,1.2897
1,6,2,1,0.86703,0.6005,0.2985,0.299,0.49753,4.3288,5.4886,1,0.83705,0.82057,0.18852,0.8016,0.82061,0.85104,0.79679,1.2268
1,6,2,2,0.8673,0.912,0.4005,0.521,0.43325,4.386,5.0805,0.10057,0.56424,0.83566,0.21214,0.85709,0.77521,0.90669,0.82983,3.1416
1,6,2,2,0.88226,0.712,0.3505,0.3565,0.49859,5.618,6.6208,0.33403,0.69754,0.86851,0.20919,0.85424,0.82497,0.90537,0.89801,1.4278
1,6,2,2,0.86351,0.742,0.354,0.379,0.47187,5.3908,6.1502,0.13574,0.67139,0.85983,0.21231,0.85396,0.82645,0.88745,0.87577,1.4779
1,6,2,3,0.77778,1.126,0.449,0.6765,0.39017,4.7265,4.8748,0.081015,0.43403,0.76915,0.30919,0.82415,0.68735,0.88917,0.76423,3.1416
1,6,2,3,0.80425,1.3105,0.4995,0.806,0.37961,4.061,4.6917,0.084907,0.37287,0.79078,0.27904,0.8544,0.70598,0.90163,0.75321,3.1416
1,6,2,3,0.90653,1.2055,0.478,0.705,0.40323,4.4147,4.7877,0.091311,0.40409,0.86726,0.29331,0.91467,0.82131,0.92818,0.81781,1.5708
1,6,3,1,0.91039,0.632,0.318,0.33,0.49322,4.1131,6.3603,1,0.80218,0.87344,0.18668,0.84127,0.86274,0.91964,0.87767,1.1064
1,6,3,1,0.89503,0.579,0.296,0.275,0.52324,4.4896,7.2859,1,0.86806,0.88067,0.21684,0.82493,0.87816,0.89354,0.92722,1.2678
1,6,3,1,0.89239,0.557,0.2835,0.274,0.50492,4.6669,7.2727,1,0.86806,0.88516,0.19332,0.84134,0.86371,0.91681,0.91831,1.3502
1,6,3,2,0.86695,0.682,0.3345,0.3595,0.47369,5.8653,6.8989,0.22067,0.76294,0.86249,0.20328,0.84322,0.81194,0.89158,0.8946,1.4108
1,6,3,2,0.90584,0.6395,0.3155,0.3285,0.48961,6.2549,7.8618,0.28524,0.78125,0.89855,0.24164,0.88065,0.85098,0.93458,0.92785,1.4931
1,6,3,2,0.84487,0.6295,0.3095,0.3305,0.47756,6.3547,7.1507,0.27448,0.78125,0.85347,0.17291,0.83951,0.82605,0.87473,0.87955,1.3153
1,6,3,3,0.81177,1.331,0.4785,0.843,0.37326,3.9985,4.7444,0.095908,0.38147,0.792,0.30283,0.84981,0.71395,0.92717,0.76608,2.14
1,6,3,3,0.71202,1.267,0.479,0.7945,0.38227,4.2004,4.8388,0.094192,0.39378,0.73532,0.27016,0.81557,0.6805,0.82555,0.72551,3.1416
1,6,3,3,0.77758,1.1805,0.4375,0.757,0.37534,4.5082,5.1438,0.087045,0.40409,0.75451,0.29598,0.82806,0.67207,0.88574,0.75724,2.9926
1,8,1,1,0.84224,0.226,0.1245,0.1045,0.54605,11.502,10.084,1,2.2461,0.83898,0.1823,0.75525,0.92315,0.86676,0.75477,0.74766
1,8,1,1,0.92669,0.194,0.104,0.096,0.51741,13.399,19.594,1,2.6042,0.90922,0.14294,0.86641,0.98088,0.91151,0.88119,0.70744
1,8,1,1,0.92029,0.2465,0.1325,0.115,0.53451,10.546,13.043,1,2.0345,0.89801,0.15786,0.83113,0.94602,0.89779,0.85401,0.99983
1,8,1,2,0.80582,0.555,0.262,0.307,0.47222,7.2072,7.9868,0.09893,0.89164,0.80279,0.19808,0.87802,0.80718,0.76629,0.75737,1.6781
1,8,1,2,0.79782,0.52,0.229,0.287,0.45618,7.6923,7.8852,0.39967,0.85449,0.80679,0.15652,0.88172,0.80868,0.79726,0.76385,1.2722
1,8,1,2,0.84003,0.64,0.2685,0.3725,0.41677,6.25,6.3469,0.21449,0.78125,0.81174,0.24598,0.87331,0.7852,0.83858,0.74919,1.5708
1,8,1,3,0.80116,1.0775,0.38,0.6815,0.36427,4.9391,5.0576,0.065358,0.4695,0.74275,0.33621,0.9257,0.69968,0.84228,0.67825,2.2051
1,8,1,3,0.80922,0.989,0.3285,0.664,0.333,5.3811,5.7194,0.05212,0.48828,0.73682,0.31014,0.91218,0.71332,0.83316,0.65717,2.2872
1,8,1,3,0.85671,0.9425,0.323,0.613,0.3498,5.6466,5.8449,0.035734,0.52083,0.78738,0.34175,0.94806,0.73402,0.87396,0.695,1.8501
1,8,2,1,0.92367,0.174,0.0925,0.0825,0.53191,14.939,15.07,1,2.9297,0.88728,0.19204,0.80328,0.9336,0.94248,0.87151,0.6135
1,8,2,1,0.89363,0.203,0.107,0.0975,0.52941,12.805,17.809,1,2.4957,0.87296,0.117,0.82938,0.91968,0.91036,0.87827,0.61943
1,8,2,1,0.93411,0.1965,0.107,0.091,0.54417,13.229,17.367,1,2.6042,0.90764,0.1377,0.85274,0.94102,0.93002,0.92476,0.69559
1,8,2,2,0.77301,0.636,0.253,0.397,0.38706,6.2893,7.0368,0.21504,0.7487,0.76043,0.24265,0.84258,0.697,0.83955,0.73191,3.1416
1,8,2,2,0.83375,0.428,0.202,0.214,0.48655,9.3458,9.1424,1,1.0742,0.82323,0.13636,0.83865,0.8423,0.81968,0.79928,1.2086
1,8,2,2,0.83306,0.67,0.269,0.403,0.40262,5.9701,6.4844,1,0.71615,0.8264,0.24173,0.88192,0.80128,0.87162,0.77108,1.4295
1,8,2,3,0.82895,1.054,0.352,0.688,0.33611,5.0493,5.1977,0.048342,0.46705,0.78992,0.37733,0.90602,0.68701,0.91718,0.75814,2.1538
1,8,2,3,0.66255,1.202,0.3905,0.8225,0.33046,4.4276,4.4999,0.053701,0.41556,0.64987,0.35796,0.76956,0.60101,0.77759,0.61103,2.234
1,8,2,3,0.89055,1.14,0.3475,0.7975,0.2995,4.6684,4.7577,0.035497,0.44389,0.79515,0.36985,0.92123,0.7239,0.91047,0.70901,1.8237
1,8,3,1,0.86487,0.172,0.094,0.08,0.54923,15.113,15.439,1,2.9297,0.85347,0.074901,0.83706,0.81372,0.84532,0.8799,0.4199
1,8,3,1,0.90506,0.182,0.1,0.082,0.54462,14.283,19.797,1,2.8076,0.88964,0.13199,0.80638,0.91574,0.91969,0.90503,0.71268
1,8,3,1,0.85849,0.183,0.103,0.085,0.5367,14.205,18.418,1,2.8076,0.8345,0.1418,0.795,0.85895,0.84548,0.85125,0.89816
1,8,3,2,0.84558,0.545,0.25,0.296,0.43786,7.3394,7.6624,1,0.939,0.8404,0.16512,0.87915,0.82696,0.84131,0.80834,1.2535
1,8,3,2,0.87796,0.446,0.223,0.234,0.48473,8.9686,10.09,1,1.1161,0.87897,0.17248,0.91195,0.87485,0.84757,0.88916,1.0373
1,8,3,2,0.85098,0.459,0.2145,0.243,0.46733,8.7146,9.3115,1,1.0696,0.84672,0.13965,0.86985,0.81631,0.85601,0.83658,0.93494
1,8,3,3,0.89674,0.931,0.327,0.592,0.3656,5.7164,5.7385,0.07491,0.54783,0.83709,0.28097,0.91486,0.7555,0.90945,0.80153,1.5708
1,8,3,3,0.8004,0.857,0.3025,0.5625,0.34936,6.21,6.3415,0.058979,0.56538,0.76939,0.30669,0.85977,0.68014,0.88506,0.76167,1.5808
