grp,pp,S,ID,peakVel,MT,accTime,decTime,accQ,IPerf,IPerfEf,Harmonicity,f,vfTrajCircularity,vfCircularity,q1,q2,q3,q4,maxangle
1,9,1,2,0.71919,1.155,0.43,0.738,0.37973,4.6077,4.2546,0.096071,0.42614,0.72849,0.27832,0.81451,0.66231,0.80474,0.67612,1.5708
1,9,1,2,0.86789,1.14,0.395,0.718,0.34671,4.6684,4.6373,0.14828,0.44041,0.84096,0.29655,0.93285,0.77641,0.9268,0.76346,1.3541
1,9,2,1,0.84451,0.2875,0.1535,0.135,0.53457,9.0416,10.072,1,1.7278,0.8458,0.17107,0.77513,0.93426,0.84576,0.7752,0.95821
1,9,2,1,0.81826,0.265,0.14,0.127,0.52788,9.8093,10.882,1,1.8717,0.82123,0.16379,0.79917,0.91463,0.81653,0.73697,1.0017
1,9,2,1,0.88772,0.262,0.1405,0.124,0.53385,9.9216,11.839,1,1.8717,0.86762,0.15992,0.81623,0.95832,0.87772,0.80854,0.83448
1,9,2,2,0.74401,1.0095,0.33,0.66,0.33442,5.2718,5.3882,0.038923,0.49964,0.7414,0.34659,0.8699,0.65667,0.84992,0.70718,1.8037
1,9,2,2,0.83194,1.093,0.352,0.701,0.33628,4.8691,5.0116,0.086741,0.45422,0.7875,0.3053,0.89176,0.70249,0.92935,0.73548,1.5083
1,9,2,2,0.8647,1.013,0.328,0.691,0.31925,5.2536,5.6487,0.066287,0.47789,0.82192,0.329,0.93778,0.7342,0.94925,0.76626,1.5083
1,9,3,1,0.79519,0.245,0.126,0.119,0.50661,10.61,11.769,1,2.0419,0.81283,0.14475,0.75955,0.85304,0.83583,0.75288,0.85583
1,9,3,1,0.89118,0.2415,0.124,0.117,0.5125,10.764,11.645,1,2.1307,0.86853,0.23167,0.82305,0.90585,0.86968,0.83599,0.9745
1,9,3,1,0.8907,0.225,0.114,0.111,0.51308,11.553,15.563,1,2.2461,0.87363,0.14311,0.87485,0.90717,0.85765,0.82685,0.92292
1,9,3,2,0.81426,0.975,0.343,0.626,0.35962,5.4584,5.5986,0.15021,0.5008,0.7907,0.27794,0.88752,0.74371,0.87977,0.71385,1.5708
1,9,3,2,0.82157,0.9805,0.353,0.6265,0.36215,5.4278,5.2941,0.11686,0.48828,0.78028,0.30644,0.8847,0.69757,0.88232,0.75544,1.5708
1,9,3,2,0.87312,0.867,0.309,0.552,0.35824,6.1383,5.9798,0.15456,0.58129,0.83757,0.29793,0.92257,0.76492,0.92211,0.79533,1.5167
2,1,1,1,0.75434,0.362,0.156,0.2045,0.43484,7.1808,8.7087,1,1.4361,0.76195,0.17597,0.80082,0.73367,0.78045,0.75559,1.0063
2,1,1,1,0.77783,0.349,0.149,0.193,0.43195,7.4483,8.6604,1,1.4038,0.79956,0.17178,0.80024,0.76676,0.82372,0.78304,0.97758
2,1,1,1,0.85666,0.3295,0.1505,0.185,0.44646,7.8893,8.4637,1,1.4648,0.84266,0.1778,0.86618,0.79827,0.85616,0.84265,0.86324
2,1,1,2,0.86348,1.1715,0.363,0.8115,0.30587,4.5428,4.3836,0.066179,0.41118,0.77504,0.33926,0.92723,0.71219,0.91765,0.70793,2.0306
2,1,1,2,0.8446,1.073,0.323,0.738,0.30462,4.9599,4.6677,0.088399,0.46503,0.78601,0.33103,0.9148,0.72761,0.91062,0.72216,1.3738
2,1,1,2,0.8407,1.1335,0.342,0.783,0.311,4.6952,4.4406,0.085991,0.4534,0.79129,0.34657,0.91773,0.72802,0.90923,0.71167,3.1135
2,1,2,1,0.9013,0.189,0.1,0.096,0.49731,13.754,15.248,1,2.7127,0.88817,0.12557,0.88204,0.90823,0.9217,0.86961,0.55039
2,1,2,1,0.8905,0.173,0.096,0.082,0.53611,15.026,18.784,1,2.9297,0.85671,0.093382,0.78499,0.78849,0.88254,0.84567,0.51883
2,1,2,1,0.88877,0.226,0.116,0.108,0.53247,11.502,13.507,1,2.3438,0.88618,0.10172,0.84768,0.90345,0.91065,0.83553,0.57219
2,1,2,2,0.8991,1.2015,0.3565,0.8555,0.29985,4.4294,4.6152,0.049946,0.4138,0.83069,0.36439,0.97251,0.76942,0.96051,0.74912,1.5708
